Total Population,California County,Longitude,Latitude,PM2.5,Cleanup Sites,Haz. Waste,Pollution Burden,Asthma,Cardiovascular Disease,Traffic
4059,Los Angeles,-118.3635823,33.9400821,12.04273571,18.0,0.475,66.5923698238286,60.33,16.48,2588.432656
6284,Fresno ,-119.8328803,36.7572824,13.56473948,6.1,4.8,68.7856114988964,73.1,10.05,1093.522676
4824,Los Angeles,-118.1822336,34.0217436,12.18460314,16.8,1.4,67.812152003199,60.62,16.34,3107.507264
4503,Los Angeles,-118.3832842,34.20361,11.51838156,36.9,2.935,62.8445904302463,79.39,21.48,792.5627615
6402,Los Angeles,-118.2391843,33.9486636,12.06896138,49.0,0.37,57.4093038843504,103.63,25.73,559.8170989
3729,Los Angeles,-118.2628927,33.9729857,12.14625901,23.5,0.23,60.0191896891632,76.06,22.09,1152.544557
4577,Fresno ,-119.7634654,36.7540827,13.71723318,0.0,0.11,58.2048691524769,119.77,20.88,2784.997451
4709,Los Angeles,-118.24555,33.9802221,12.15052197,42.25,3.02,59.4651639863311,80.16,24.73,813.5117297
5439,Riverside ,-117.3422164,33.9951231,12.37480713,23.0,2.785,64.6531566775491,61.6,17.81,1404.468239
1292,Fresno ,-119.831179,36.7067181,13.27786952,22.0,0.0,58.307618837731,139.35,22.68,88.16642645
6567,Los Angeles,-118.3021541,33.8484731,12.06089249,88.05,6.58,75.0698608649501,57.93,12.16,2548.275568
4071,Riverside ,-117.3763853,33.9798271,12.47661627,29.25,0.985,65.1916733035608,95.27,23.74,1186.647805
2254,Los Angeles,-118.2014531,33.7796381,11.70661336,0.0,0.93,59.7976902120679,104.11,22.57,696.6015045
3190,Kern ,-118.9985321,35.3604075,15.83431856,10.0,0.5,58.5018676224269,81.76,22.41,902.2936298
5944,Los Angeles,-118.0364142,34.0494754,12.03999382,33.5,1.31,71.4068019541837,65.92,16.69,588.4735897
5391,Los Angeles,-118.2197131,34.0800585,12.97004897,63.6,0.725,76.9233803940247,60.2,9.9,2459.873712
7058,Los Angeles,-118.2520343,33.9790503,12.15052197,61.5,0.775,57.9535587755249,80.16,24.73,1010.702094
5348,Los Angeles,-118.0584597,34.0649651,11.99797143,14.1,0.4,69.2524434106933,65.48,16.57,1075.398537
3206,Los Angeles,-118.1514821,33.9583801,12.0818703,15.15,3.275,68.8829776790345,54.25,23.93,925.9154496
5339,Stanislaus ,-120.8576989,37.4861261,12.77305813,1.1,0.685,65.1118895218193,77.81,24.42,1164.652395
5337,Los Angeles,-118.261783,34.1403264,11.87080549,43.85,2.68,68.7983406966612,67.87,20.38,987.5232579
4972,San Bernardino,-117.3233041,34.0602092,11.92427528,50.1,0.385,64.4400463037615,75.79,20.18,1883.771741
7113,San Bernardino,-117.3168792,34.100314,11.5389507,13.8,0.55,57.5790234421992,97.86,24.18,1178.491339
11006,Madera ,-120.0448456,36.9589685,12.66649527,13.0,0.31,60.8096303434551,93.91,31.2,1093.14832
5779,Los Angeles,-118.0339351,34.0755467,11.93241395,33.0,0.46,74.0999671505579,51.4,11.52,1531.863351
4391,Los Angeles,-118.2868209,33.9200912,12.13197187,4.95,0.315,64.5013425552707,81.43,14.75,2374.418694
5134,Los Angeles,-118.2752632,33.966092,12.11496733,5.2,0.05,55.8773580296406,113.88,27.88,3238.402884
2873,Merced ,-120.4781909,37.3040353,12.19020915,9.4,0.245,54.4667630210655,140.11,32.13,1042.881892
5353,Los Angeles,-118.1850472,33.9427497,12.03418998,91.25,2.515,70.5259812545924,52.53,18.39,982.9633037
3737,Los Angeles,-118.2637832,33.9583159,12.10418364,14.5,0.535,58.1011974898471,78.89,19.66,1126.061122
2662,Merced ,-120.4917855,37.3071923,12.22764027,9.1,0.47,59.7246376533397,128.76,29.65,1156.341186
6635,Los Angeles,-117.7865057,34.0546198,12.44092467,30.05,2.75,71.7938908765024,66.68,15.23,1466.886544
3701,Los Angeles,-118.1918918,33.9548717,12.062437,77.15,1.4,71.7769999967329,44.43,15.79,835.6237977
3339,Fresno ,-119.4974354,36.5995048,13.25232473,7.5,0.15,57.9467334321635,125.9,22.64,646.7282871
4001,Los Angeles,-118.2415978,34.046994,12.70828375,24.35,1.855,68.9364353678426,77.42,10.61,683.6233014
4195,Los Angeles,-118.2209803,33.9899239,12.10088367,36.55,9.995,70.4234086556954,54.0,19.34,801.6312981
5006,Los Angeles,-118.2253101,33.8940909,12.12536191,11.75,1.03,59.9562526677903,110.96,17.77,639.0117221
4721,Riverside ,-117.278368,33.8891026,11.43434633,20.8,1.205,63.6407991935543,62.07,19.79,1701.370963
6112,Los Angeles,-118.2865467,34.1623874,11.787489,59.25,2.16,75.2958054542146,34.9,13.75,2364.847876
3059,Los Angeles,-118.2207001,33.913976,12.08913112,61.5,19.69,64.4778085567277,82.3,18.64,810.6770411
4498,Los Angeles,-118.1964766,34.059079,12.41775036,5.5,0.515,69.1029351823414,60.33,13.14,1663.608361
3718,Los Angeles,-118.3001717,33.927402,12.10553008,27.0,0.03,56.9876410153118,124.26,23.64,2797.270786
5277,Los Angeles,-118.2030018,34.0285553,12.30827709,9.0,2.66,65.5961932640837,55.5,15.35,4050.333875
5917,Los Angeles,-118.2118964,33.9078664,12.08865447,4.4,6.715,62.5398565244566,81.13,21.02,850.0133692
3006,San Diego,-117.1165151,32.6909862,10.39058624,1.5,1.945,61.1321759933299,107.84,16.25,1429.379206
4531,Los Angeles,-118.2582626,33.8906679,12.11120264,17.1,2.97,66.5925643697897,118.7,18.6,792.6218994
5353,Los Angeles,-118.2432565,33.9992469,12.21219619,17.65,5.5,62.777637903484,67.0,18.06,487.4645779
3523,Los Angeles,-118.1890767,33.8934041,12.12382492,1.75,0.1,60.63506052439,95.62,24.67,2336.401295
5776,Los Angeles,-118.2857509,33.9334324,12.09974001,0.0,0.0,59.1007337813889,105.63,18.97,3162.308044
4971,Fresno ,-119.7634304,36.7468175,13.81665248,0.0,0.11,55.7737335389498,119.77,20.88,1609.502719
5664,Los Angeles,-118.197207,33.778962,11.70661336,0.0,0.535,54.867307254057,119.54,25.97,525.5394672
4590,Los Angeles,-118.2520926,33.9864059,12.15277014,118.4,1.485,61.6234510590771,73.85,22.83,1019.759087
5838,Los Angeles,-118.4596472,34.2066365,11.99025794,41.35,2.705,61.3584524016835,109.5,20.82,1223.664584
